,data_type,stream_size,zfp_rate,cache_size,is_zfp,Function,Best Rate MB/s,Avg time,Min time,Max time
225,float,16777216,64,0,False,Scale,11837.9,0.011417,0.011338,0.011546
226,float,16777216,64,0,False,Add,12498.5,0.016176,0.016108,0.016319
227,float,16777216,64,0,False,Triad,12490.0,0.016191,0.016119,0.016338
228,float,16777216,64,0,True,Copy,73.3,1.880601,1.830812,1.918199
229,float,16777216,64,0,True,Scale,72.4,1.889962,1.853567,1.944728
230,float,16777216,64,0,True,Add,86.9,2.402528,2.317211,2.445168
231,float,16777216,64,0,True,Triad,86.3,2.415352,2.332708,2.457541
232,float,16777216,128,0,False,Copy,11921.9,0.011282,0.011258,0.011311
233,float,16777216,128,0,False,Scale,12083.1,0.011146,0.011108,0.011216
234,float,16777216,128,0,False,Add,12671.6,0.015914,0.015888,0.015971
235,float,16777216,128,0,False,Triad,12704.4,0.0159,0.015847,0.015946
236,float,16777216,128,0,True,Copy,72.8,1.890322,1.842555,1.929154
237,float,16777216,128,0,True,Scale,71.9,1.903516,1.867428,1.959724
238,float,16777216,128,0,True,Add,86.0,2.425494,2.341224,2.467902
239,float,16777216,128,0,True,Triad,85.8,2.435639,2.34765,2.483938
240,float,16777216,256,0,False,Copy,11980.5,0.011227,0.011203,0.011246
241,float,16777216,256,0,False,Scale,11797.2,0.0114,0.011377,0.011462
242,float,16777216,256,0,False,Add,12668.4,0.015916,0.015892,0.015959
243,float,16777216,256,0,False,Triad,12549.2,0.016067,0.016043,0.016094
244,float,16777216,256,0,True,Copy,71.0,1.934274,1.890252,1.971461
245,float,16777216,256,0,True,Scale,70.1,1.944724,1.913959,1.995996
246,float,16777216,256,0,True,Add,83.7,2.493234,2.406696,2.531831
247,float,16777216,256,0,True,Triad,82.3,2.508311,2.446706,2.550422
248,float,16777216,512,0,False,Copy,12165.1,0.011083,0.011033,0.011156
249,float,16777216,512,0,False,Scale,12142.2,0.011114,0.011054,0.011236
250,float,16777216,512,0,False,Add,12798.2,0.015782,0.015731,0.015829
251,float,16777216,512,0,False,Triad,12829.9,0.015752,0.015692,0.015822
252,float,16777216,512,0,True,Copy,53.3,2.577394,2.516301,2.629116
253,float,16777216,512,0,True,Scale,52.7,2.592208,2.547352,2.657799
254,float,16777216,512,0,True,Add,61.0,3.398872,3.302438,3.460989
255,float,16777216,512,0,True,Triad,60.7,3.409175,3.317376,3.453054
256,float,33554432,4,0,False,Copy,11630.6,0.023157,0.02308,0.023358
257,float,33554432,4,0,False,Scale,11636.6,0.023126,0.023068,0.023192
258,float,33554432,4,0,False,Add,12234.7,0.032962,0.032911,0.033058
259,float,33554432,4,0,False,Triad,12216.0,0.033031,0.032961,0.033166
260,float,33554432,4,0,True,Copy,80.1,3.420748,3.349348,3.473888
261,float,33554432,4,0,True,Scale,80.7,3.392904,3.324709,3.461434
262,float,33554432,4,0,True,Add,96.6,4.348284,4.166269,4.473486
263,float,33554432,4,0,True,Triad,95.2,4.370767,4.230036,4.562929
264,float,33554432,8,0,False,Copy,11432.5,0.023524,0.02348,0.023568
265,float,33554432,8,0,False,Scale,11356.1,0.02368,0.023638,0.023736
266,float,33554432,8,0,False,Add,11927.6,0.033801,0.033758,0.033868
267,float,33554432,8,0,False,Triad,11894.5,0.033913,0.033852,0.033992
268,float,33554432,8,0,True,Copy,82.0,3.385097,3.273116,3.47868
269,float,33554432,8,0,True,Scale,81.1,3.402653,3.311175,3.482159
270,float,33554432,8,0,True,Add,97.5,4.367832,4.130088,4.564842
271,float,33554432,8,0,True,Triad,97.1,4.344471,4.145011,4.462746
272,float,33554432,16,0,False,Copy,11559.5,0.026903,0.023222,0.033917
273,float,33554432,16,0,False,Scale,11498.6,0.026961,0.023345,0.033904
274,float,33554432,16,0,False,Add,12125.6,0.039055,0.033207,0.050055
275,float,33554432,16,0,False,Triad,12090.6,0.038983,0.033303,0.0485
276,float,33554432,16,0,True,Copy,79.0,3.546093,3.399,3.653921
277,float,33554432,16,0,True,Scale,78.1,3.523582,3.439101,3.584868
278,float,33554432,16,0,True,Add,92.1,4.801875,4.371357,6.17851
279,float,33554432,16,0,True,Triad,94.5,4.507273,4.260105,4.637809
280,float,33554432,32,0,False,Copy,11394.1,0.023611,0.023559,0.023642
281,float,33554432,32,0,False,Scale,11306.4,0.02376,0.023742,0.023789
282,float,33554432,32,0,False,Add,11943.9,0.033751,0.033712,0.033768
283,float,33554432,32,0,False,Triad,11935.8,0.03377,0.033735,0.033834
284,float,33554432,32,0,True,Copy,73.7,3.740814,3.643722,3.817983
285,float,33554432,32,0,True,Scale,72.7,3.767668,3.694793,3.88533
286,float,33554432,32,0,True,Add,87.4,4.786211,4.607024,4.876538
287,float,33554432,32,0,True,Triad,86.6,4.819336,4.647452,4.905997
288,float,33554432,64,0,False,Copy,11490.3,0.023416,0.023362,0.023589
289,float,33554432,64,0,False,Scale,11397.0,0.023641,0.023553,0.023821
290,float,33554432,64,0,False,Add,12054.0,0.033506,0.033404,0.033661
